N,P,alpha,seed,n_resolved,mean,median,std,iqr,min,max,gap,skewness,excess_kurtosis,path
10000,500,0.05,1000,500,0.2690438007401536,0.269163,0.00949398168352121,0.012390624999999988,0.23953999999999998,0.29610999999999993,0.056569999999999954,-0.06286523983652612,-0.011698250825626921,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N10000_P500_s1000.npz
10000,500,0.05,1001,500,0.26846103298623997,0.26844599999999996,0.009678049536189497,0.012855000000000005,0.24161249999999995,0.29481999999999997,0.05320750000000002,-0.14157242533213382,-0.17421492461978438,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N10000_P500_s1001.npz
1000,100,0.1,1000,84,0.1422591038538286,0.13969841494508628,0.04703990643326261,0.06493101043056633,0.059982886954068865,0.2542115198666129,0.19422863291254402,0.19019047601745706,-0.5994432412362856,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1000.npz
1000,100,0.1,1001,83,0.16238417683103978,0.16387517677726815,0.05120389822282932,0.07476042177238029,0.05763271786061148,0.2628251924833519,0.20519247462274043,-0.007028839985799445,-0.8209779329866533,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1001.npz
1000,100,0.1,1002,87,0.1511133433756879,0.15974041339552175,0.046850139079059785,0.06402042950183867,0.052087974229763884,0.2506089858961983,0.1985210116664344,-0.37181047852433874,-0.5310837548801932,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1002.npz
1000,100,0.1,1003,80,0.1612480063821083,0.16524169910012249,0.04732665389580414,0.06508795015542904,0.07187834850302047,0.255587865827975,0.18370951732495452,-0.0925859273566076,-0.6786864780871218,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1003.npz
1000,100,0.1,1004,78,0.14952016110804348,0.15040241122309536,0.04745531841541399,0.07283504046852395,0.05118168735053971,0.255992734392119,0.2048110470415793,-0.17453638617850956,-0.6931553674632869,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1004.npz
1000,100,0.1,1005,73,0.1453062797193597,0.14296948426191208,0.051914716716413345,0.08402293907450922,0.055459048679994516,0.24820590684504112,0.1927468581650466,0.010778573260895355,-0.982718836433552,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1005.npz
1000,100,0.1,1006,85,0.1488246374310338,0.14653572664386044,0.04789756759927833,0.07325842003023063,0.06060042745733792,0.25706032881826396,0.19645990136092603,0.06370345714060213,-0.8070126774399369,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1006.npz
1000,100,0.1,1007,81,0.15736967803978702,0.15742495534682632,0.05004136107450043,0.07326972507987532,0.0581532866609485,0.2687572171958762,0.2106039305349277,0.03117995068729137,-0.6658079882823009,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1007.npz
1000,100,0.1,1008,80,0.1513595478316623,0.1537480512767376,0.04244146242668681,0.06461074790057825,0.05589852223558666,0.22406842348348616,0.1681699012478995,-0.21191148379620173,-0.8652157124835234,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1008.npz
1000,100,0.1,1009,82,0.15188585805143878,0.1552705541543325,0.049019359989992725,0.07262764649593416,0.053124383586148835,0.24439496575906772,0.19127058217291887,-0.20350550544452425,-0.8465556146674471,/Users/leoflack/Desktop/Recherche/Chicago/numerics copie théorie claude + implémentation GPT/results/3_unification_seuils_scaling/data/E30_scaling/E30_N1000_P100_s1009.npz
