seed,static_motif,dynamic_motif,static_low,static_high,static_mid,dynamic_low,dynamic_high,dynamic_mid,difference,identity_match,arrest_contains_static_extreme,arrest_top_two_motifs,bracket_overlap,first_second_gap,gap_below_resolution,static_extreme_brackets_overlap,second_low,second_high,second_motif,history_control_passed
42,91,91,0.32750169921875,0.3276383403320312,0.3275700197753906,0.32749999999999996,0.32775,0.32762499999999994,5.4980224609341155e-05,True,True,"[91, 92]",True,0.014094599609374953,False,False,0.313407099609375,0.31354374072265623,43,True
43,67,67,0.3181516806640624,0.31830881794433585,0.31823024930419913,0.3182499999999999,0.31849999999999995,0.31837499999999996,0.00014475069580083266,True,True,"[67, 68]",True,0.0009632036132811717,False,False,0.31718847705078124,0.3173456143310547,99,True
44,95,95,0.33862695410156246,0.3387840913818359,0.3387055227416992,0.33924999999999994,0.33949999999999997,0.339375,0.0006694772583007991,True,True,"[95, 96]",False,0.015863105749511663,False,False,0.3227830078125,0.322901826171875,13,True
45,69,69,0.31718847705078124,0.3173456143310547,0.31726704569091796,0.3172499999999999,0.31749999999999995,0.31737499999999996,0.00010795430908200343,True,True,"[69, 70]",True,0.006154516149902395,False,False,0.31104420898437496,0.31118085009765617,32,True
46,22,22,0.32517968750000004,0.3252830078125,0.32523134765625006,0.32575,0.32599999999999996,0.32587499999999997,0.0006436523437499397,True,True,"[22, 23]",False,0.00042771993408208253,True,False,0.32472505908203125,0.3248821963623047,19,True
47,79,79,0.31595664062499995,0.31607545898437495,0.31601604980468745,0.31575,0.31599999999999995,0.31587499999999996,-0.0001410498046874875,True,True,"[79, 80]",True,0.0020085300292967956,False,False,0.31393919921875,0.3140758403320313,36,True
48,13,13,0.32882038085937504,0.3289570219726563,0.32888870141601567,0.33224999999999993,0.33249999999999996,0.332375,0.003486298583984304,True,True,"[13, 14]",False,0.00012772973632813045,True,True,0.32870156250000004,0.32882038085937504,26,True
49,77,77,0.33,0.33017968750000004,0.33008984375000006,0.32999999999999996,0.33024999999999993,0.33012499999999995,3.5156249999918066e-05,True,True,"[77, 78]",True,0.013060434777832086,False,False,0.31695084033203125,0.3171079776123047,50,True
50,39,39,0.3181516806640624,0.31830881794433585,0.31823024930419913,0.31849999999999995,0.31875,0.31862499999999994,0.00039475069580080513,True,True,"[39, 40]",False,0.0020864697631835516,False,False,0.31607545898437495,0.3162121000976562,47,True
51,27,27,0.33966816455078125,0.3398253018310547,0.33974673319091797,0.33924999999999994,0.33949999999999997,0.339375,-0.00037173319091798884,True,True,"[27, 28]",False,0.015646503698730496,False,False,0.3240408203125,0.324159638671875,21,True
52,40,40,0.325,0.32517968750000004,0.32508984375000005,0.32499999999999996,0.32524999999999993,0.32512499999999994,3.5156249999918066e-05,True,True,"[40, 41]",True,0.006384321008300886,False,False,0.31862695410156244,0.3187840913818359,38,True
53,87,87,0.32181601562499995,0.32193483398437495,0.32187542480468745,0.32175,0.32199999999999995,0.32187499999999997,-4.2480468748218314e-07,True,True,"[87, 88]",True,0.003306543176269494,False,False,0.31849031298828123,0.3186474502685547,20,True
54,48,48,0.325,0.32517968750000004,0.32508984375000005,0.32499999999999996,0.32524999999999993,0.32512499999999994,3.5156249999918066e-05,True,True,"[48, 49]",True,0.005580747277832088,False,False,0.31943052783203124,0.3195876651123047,24,True
55,62,62,0.320625,0.3208046875,0.32071484375000003,0.3202499999999999,0.32049999999999995,0.32037499999999997,-0.00033984375000004063,True,True,"[62, 63]",False,0.007907187255859455,False,False,0.3127393359375,0.3128759770507812,0,True
56,77,77,0.312382880859375,0.3125195219726562,0.31245120141601557,0.31275,0.31299999999999994,0.31287499999999996,0.0004237985839843639,True,True,"[77, 78]",False,0.001132031249999943,False,False,0.311250849609375,0.31138749072265626,95,True
57,89,89,0.3252393359375,0.32537597705078125,0.3253076564941406,0.32524999999999993,0.32549999999999996,0.32537499999999997,6.734350585935189e-05,True,True,"[89, 90]",True,0.005061562744140602,False,False,0.32015625000000003,0.3203359375,28,True
58,21,21,0.33153755908203125,0.3316946963623047,0.331616127722168,0.33124999999999993,0.33149999999999996,0.331375,-0.00024112772216799971,True,True,"[21, 22]",False,0.008131327917480502,False,False,0.323425390625,0.32354420898437497,64,True
59,67,67,0.3141768359375,0.3143134770507813,0.31424515649414064,0.31399999999999995,0.3142499999999999,0.31412499999999993,-0.00012015649414071072,True,True,"[67, 68]",True,0.003363677001953169,False,False,0.3108220703125,0.31094088867187497,26,True
60,65,65,0.32750169921875,0.3276383403320312,0.3275700197753906,0.32749999999999996,0.32775,0.32762499999999994,5.4980224609341155e-05,True,True,"[65, 66]",True,0.000969790283203098,False,False,0.3265408203125,0.326659638671875,14,True
61,34,34,0.325,0.32517968750000004,0.32508984375000005,0.32449999999999996,0.32475,0.32462499999999994,-0.0004648437500000824,True,True,"[34, 35]",False,0.0018194335937500583,False,False,0.32321875,0.3233220703125,86,True
