alpha,lambda,seed,P,trajectory_class,transitions,transition_rate,forward_fraction,reversal_fraction,tours,fixed_residual,periodic_closure,peak_analog_mean,binary_retrieval_mean,participation_mean,front_width_mean,quarter_1_transitions,quarter_2_transitions,quarter_3_transitions,quarter_4_transitions,trajectory_source,lyapunov_source,lyapunov_k,lyapunov_final,lyapunov_tail_250,lyapunov_status
0.05,0.9,44,100,strict_sequence,148,0.0925,1.0,0.0,1.48,0.13118506132647573,5.719964444445784e-05,0.9300777898156085,0.9838760000000001,1.129557403762228,1.0702456096493969,37,37,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p90_s44.npz,,,,,not_computed
0.05,0.9,45,100,strict_sequence,148,0.0925,1.0,0.0,1.48,0.12951026806709048,3.350083401963976e-05,0.9304016212115449,0.9844400000000001,1.1312266995178586,1.0709330666833323,37,37,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p90_s45.npz,,,,,not_computed
0.05,0.9,46,100,strict_sequence,148,0.0925,1.0,0.0,1.48,0.13215070446032942,4.957102724779337e-05,0.9302684499847929,0.984232,1.1313920962830495,1.0704955940253733,37,37,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p05_lam0p90_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p05_lam0p90_s46_k1.npz,1,-0.004679325282966373,-1.1949491885814339e-05,no_positive_exponent_resolved
0.09,0.35,42,180,strict_sequence,105,0.065625,1.0,0.0,0.5833333333333334,0.02425392712088878,0.9872326285769443,0.8260326089930446,0.910361,1.4347827324758486,1.2131116805199675,26,27,26,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p35_s42.npz,,,,,not_computed
0.09,0.35,43,180,strict_sequence,105,0.065625,1.0,0.0,0.5833333333333334,0.02788632974193024,1.1307313225421636,0.8263097770116864,0.911126,1.4357244400173983,1.2129241922379852,26,27,26,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p35_s43.npz,,,,,not_computed
0.09,0.35,44,180,strict_sequence,104,0.065,1.0,0.0,0.5777777777777777,0.01770004456153103,0.5175794211372229,0.827069111376154,0.9120530000000001,1.4286540594702735,1.2142366102118618,26,26,26,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p35_s44.npz,,,,,not_computed
0.09,0.35,45,180,strict_sequence,104,0.065,1.0,0.0,0.5777777777777777,0.013654345384820092,0.5183277607626359,0.8273759067946607,0.9117850000000001,1.4263955125867636,1.2152365477157678,26,26,26,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p35_s45.npz,,,,,not_computed
0.09,0.35,46,180,strict_sequence,105,0.065625,1.0,0.0,0.5833333333333334,0.037767470810403214,1.216871962713331,0.8270003418801529,0.9103979999999999,1.4346510479870336,1.2140491219298795,27,26,26,26,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p35_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p09_lam0p35_s46_k1.npz,1,-0.004872448051556553,-0.0012790774885649014,no_positive_exponent_resolved
0.09,0.4,42,180,strict_sequence,117,0.073125,1.0,0.0,0.65,0.043698977462604455,0.9666608949206253,0.8559147725158747,0.9293969999999999,1.3433960635977649,1.1763639772514218,30,29,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p40_s42.npz,,,,,not_computed
0.09,0.4,43,180,strict_sequence,117,0.073125,1.0,0.0,0.65,0.04449494300088505,0.9828014833665883,0.8561645076696305,0.930502,1.3431950202167775,1.1753640397475158,30,29,29,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p09_lam0p40_s43.npz,,,,,not_computed
