alpha,lambda,seed,P,trajectory_class,transitions,transition_rate,forward_fraction,reversal_fraction,tours,fixed_residual,periodic_closure,peak_analog_mean,binary_retrieval_mean,participation_mean,front_width_mean,quarter_1_transitions,quarter_2_transitions,quarter_3_transitions,quarter_4_transitions,trajectory_source,lyapunov_source,lyapunov_k,lyapunov_final,lyapunov_tail_250,lyapunov_status
0.13,0.9,42,260,strict_sequence,147,0.091875,1.0,0.0,0.5653846153846154,0.08371300127688887,1.1895940126569637,0.9214871146883615,0.966758,1.230766709505699,1.0763077307668272,37,37,36,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p90_s42.npz,,,,,not_computed
0.13,0.9,43,260,strict_sequence,147,0.091875,1.0,0.0,0.5653846153846154,0.08272191633020845,1.1684835510368485,0.921351983439962,0.966695,1.2334189528697235,1.0761202424848446,37,37,36,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p90_s43.npz,,,,,not_computed
0.13,0.9,44,260,strict_sequence,147,0.091875,1.0,0.0,0.5653846153846154,0.08224195579678616,1.1753360667699875,0.9220660229488634,0.967364,1.2306261871436872,1.075807762014874,37,37,36,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p90_s44.npz,,,,,not_computed
0.13,0.9,45,260,strict_sequence,147,0.091875,1.0,0.0,0.5653846153846154,0.08213181318441151,1.1759641640521186,0.9217139679707151,0.96706,1.230984145470716,1.0764952190488095,37,36,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p90_s45.npz,,,,,not_computed
0.13,0.9,46,260,strict_sequence,147,0.091875,1.0,0.0,0.5653846153846154,0.08098789083433518,1.1957994139675119,0.920850976865892,0.9655179999999999,1.2348915074885654,1.0774951565527155,37,36,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p13_lam0p90_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p13_lam0p90_s46_k1.npz,1,-0.0048990424987268655,0.0001393778927308293,no_positive_exponent_resolved
0.15,0.35,42,300,degraded_forward,85,0.053125,1.0,0.08235294117647059,1.97,0.0012104963783957242,0.042087964335566726,0.5338767453259897,0.5713220000000001,21.294410742326637,11.133491656771453,25,25,23,12,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p35_s42.npz,,,,,not_computed
0.15,0.35,43,300,irregular_nonsequence,42,0.02625,0.9,0.35714285714285715,0.0,0.00367467477338127,0.12652210033027728,0.2250109828802711,0.23639700000000002,55.89727256983476,22.01287419536279,30,7,0,5,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p35_s43.npz,,,,,not_computed
0.15,0.35,44,300,strict_sequence,100,0.0625,1.0,0.0,0.3333333333333333,0.026409385607097872,0.907051686571367,0.7774943083021342,0.840884,1.7494939510728345,1.2257358915067809,25,25,25,25,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p35_s44.npz,,,,,not_computed
0.15,0.35,45,300,fixed_point,8,0.005,0.5,0.5,0.0,4.317770353702307e-16,0.0,0.14976367912925637,0.14615599999999998,51.45326331399163,25.906005874632836,8,0,0,0,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p35_s45.npz,,,,,not_computed
0.15,0.35,46,300,irregular_nonsequence,89,0.055625,0.64,0.4943820224719101,0.0,0.0032205298516713664,0.10926971284472037,0.15469703739306595,0.161446,52.00694063243089,26.131741766139616,31,13,26,19,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p35_s46.npz,,,,,not_computed
0.15,0.4,42,300,strict_sequence,114,0.07125,1.0,0.0,0.38,0.030273094950164815,1.2138377468087143,0.8261111858868697,0.884812,1.5340114972461187,1.1868633210424349,29,28,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p40_s42.npz,,,,,not_computed
0.15,0.4,43,300,strict_sequence,113,0.070625,1.0,0.0,0.37666666666666665,0.03151334432514467,1.2133394385340424,0.8251042953623002,0.882615,1.54486327090873,1.186363352290482,28,28,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p40_s43.npz,,,,,not_computed
0.15,0.4,44,300,strict_sequence,113,0.070625,1.0,0.0,0.37666666666666665,0.03465889237194527,1.196600318031005,0.8278877923795944,0.8869199999999999,1.531705769792752,1.1851134304105992,28,28,29,28,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p40_s44.npz,,,,,not_computed
0.15,0.4,45,300,strict_sequence,113,0.070625,1.0,0.0,0.37666666666666665,0.033335089536954784,1.188056242221673,0.8273020353071996,0.8843219999999999,1.528347541584647,1.1877382663583527,28,28,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p40_s45.npz,,,,,not_computed
0.15,0.4,46,300,strict_sequence,113,0.070625,1.0,0.0,0.37666666666666665,0.021533870801736032,1.0452674411289322,0.8248849555794361,0.8832450000000001,1.5489697681756953,1.189488156990188,28,28,28,29,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p40_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p15_lam0p40_s46_k1.npz,1,-0.004795082986505809,-0.0013408660973408982,no_positive_exponent_resolved
0.15,0.5,42,300,strict_sequence,129,0.080625,1.0,0.0,0.43,0.03775040166825856,1.2229681632500864,0.8725412282232298,0.92525,1.363970360442041,1.1408661958627586,32,33,32,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p50_s42.npz,,,,,not_computed
0.15,0.5,43,300,strict_sequence,129,0.080625,1.0,0.0,0.43,0.039717630157590944,1.2058059014203182,0.872208378859194,0.925357,1.3688233711851987,1.1406787075807763,33,32,32,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p50_s43.npz,,,,,not_computed
0.15,0.5,44,300,strict_sequence,129,0.080625,1.0,0.0,0.43,0.04385065863497435,1.192202159646696,0.8737800375629133,0.927037,1.3649929553730282,1.140491219298794,33,32,32,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p50_s44.npz,,,,,not_computed
0.15,0.5,45,300,strict_sequence,129,0.080625,1.0,0.0,0.43,0.04203100233324046,1.2137164361878248,0.8731972069068938,0.92672,1.3625467110995781,1.1414911568026997,32,33,32,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p50_s45.npz,,,,,not_computed
0.15,0.5,46,300,strict_sequence,129,0.080625,1.0,0.0,0.43,0.031266699128740805,1.133449367018571,0.8716080041644656,0.924538,1.3729941908894014,1.1425535904006,32,33,32,32,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p50_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p15_lam0p50_s46_k1.npz,1,-0.004826507563275696,-4.930918766030479e-05,no_positive_exponent_resolved
0.15,0.7,42,300,strict_sequence,141,0.088125,1.0,0.0,0.47,0.057854900013998296,1.1991845819833928,0.9078948178171179,0.953956,1.2631168161368858,1.0969939378788827,35,35,35,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p70_s42.npz,,,,,not_computed
0.15,0.7,43,300,strict_sequence,141,0.088125,1.0,0.0,0.47,0.0607691784785058,1.1986996633556712,0.9074373923894345,0.9533130000000001,1.2666959305938137,1.0964314730329354,35,35,35,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p70_s43.npz,,,,,not_computed
0.15,0.7,44,300,strict_sequence,141,0.088125,1.0,0.0,0.47,0.060525332302666546,1.1789961369710356,0.9087496768722647,0.95599,1.2614282748947854,1.0961189925629649,35,35,36,35,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p70_s44.npz,,,,,not_computed
0.15,0.7,45,300,strict_sequence,141,0.088125,1.0,0.0,0.47,0.060200505920060494,1.2107079735146806,0.9078750268838418,0.953607,1.2627732761347081,1.0969939378788827,35,35,35,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p70_s45.npz,,,,,not_computed
0.15,0.7,46,300,strict_sequence,141,0.088125,1.0,0.0,0.47,0.056278658881368064,1.178742169693686,0.9071053208616345,0.952596,1.2677989851327574,1.0978688831948002,35,35,35,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p70_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p15_lam0p70_s46_k1.npz,1,-0.005240087045125591,3.970280396499298e-05,no_positive_exponent_resolved
0.15,0.9,42,300,strict_sequence,147,0.091875,1.0,0.0,0.49,0.06568896616774182,1.1176462731858419,0.9162752007632902,0.9586270000000001,1.2646624604719974,1.0798700081244923,37,36,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p90_s42.npz,,,,,not_computed
0.15,0.9,43,300,strict_sequence,147,0.091875,1.0,0.0,0.49,0.06520328803772471,1.243174694344955,0.9160452024861824,0.9587629999999999,1.2671805434118213,1.0790575589025686,37,36,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p90_s43.npz,,,,,not_computed
0.15,0.9,44,300,strict_sequence,147,0.091875,1.0,0.0,0.49,0.07198605831123524,1.2037825930315686,0.9174550472994093,0.9606269999999999,1.2634776305075368,1.0788075745265922,37,36,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p90_s44.npz,,,,,not_computed
0.15,0.9,45,300,strict_sequence,147,0.091875,1.0,0.0,0.49,0.061631673827135955,1.120944891051298,0.91644290594697,0.959163,1.2648083550883902,1.0798700081244923,37,36,37,37,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p90_s45.npz,,,,,not_computed
0.15,0.9,46,300,strict_sequence,146,0.09125,1.0,0.0,0.4866666666666667,0.0428061929952229,0.8068901734228793,0.9154775829779559,0.9572039999999999,1.269454161260096,1.0801824885944629,37,36,37,36,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/trajectory_N2000_a0p15_lam0p90_s46.npz,/Users/leoflack/Documents/Codex/2026-07-25/automate/outputs/paper_v5_numerics/runs/N8/lyapunov_N2000_a0p15_lam0p90_s46_k1.npz,1,-0.006014995776703688,-4.332191526486784e-06,no_positive_exponent_resolved
